pcds,oa21,lsoa21,msoa21,laua,rgn,ctry,lat,long
"M1 1AE","","E01034129","E02006912","E08000003","North West","England","53.483487","-2.231182"
"SW1A 1AA","","E01004736","E02000977","E09000033","London","England","51.50101","-0.141563"
"E1 6AN","","E01032739","E02000001","E09000001","London","England","51.518887","-0.078479"
"B1 1HQ","","E01033625","E02006899","E08000025","West Midlands","England","52.478727","-1.906912"
"LS1 1UR","","E01033010","E02006875","E08000035","Yorkshire and The Humber","England","53.802177","-1.548522"
"NE1 7RU","","E01008397","E02007099","E08000021","North East","England","54.980327","-1.615727"
"BS1 4DJ","","E01033909","E02006952","E06000023","South West","England","51.451733","-2.596864"
"CF10 1EP","","W01002019","W02000398","W06000015","Wales","Wales","51.475764","-3.179217"
"SA1 1NW","","W01001955","W02000192","W06000011","Wales","Wales","51.623329","-3.941747"
"EH1 1YZ","","S01014710","S02002727","S12000036","Scotland","Scotland","55.950328","-3.193018"
"G1 1XW","","S01017410","S02003231","S12000049","Scotland","Scotland","55.861286","-4.24634"
"AB10 1AB","","S01013627","S02002541","S12000033","Scotland","Scotland","57.14959","-2.096923"
